Title,Rating,Voting,Duration,Duration (min),Genre
Twisters,6.5,,2h 2m,122,Action
Gladiator II,6.5,,2h 28m,148,Action
Sonic the Hedgehog 3,6.9,,1h 50m,110,Action
Kraven the Hunter,5.5,,2h 7m,127,Action
Deadpool & Wolverine,7.6,,2h 8m,128,Action
Civil War,7.0,,1h 49m,109,Action
Dune: Part Two,8.5,,2h 46m,166,Action
The Ministry of Ungentlemanly Warfare,6.8,,2h 2m,122,Action
Venom: The Last Dance,6.0,,1h 50m,110,Action
The Beekeeper,6.3,,1h 45m,105,Action
The Count of Monte-Cristo,7.6,,2h 58m,178,Action
Freaky Tales,7.2,,1h 47m,107,Action
Furiosa: A Mad Max Saga,7.5,,2h 28m,148,Action
Transformers One,7.6,,1h 44m,104,Action
Carry-On,6.5,,1h 59m,119,Action
Borderlands,4.7,,1h 41m,101,Action
Fight or Flight,6.4,,1h 37m,97,Action
The Fall Guy,6.8,,2h 6m,126,Action
The Crow,4.7,,1h 51m,111,Action
Road House,6.2,,2h 1m,121,Action
Rebel Ridge,6.8,,2h 11m,131,Action
Pushpa: The Rule - Part 2,6.1,,3h 21m,201,Action
Madame Web,4.0,,1h 56m,116,Action
The Lord of the Rings: The War of the Rohirrim,6.3,,2h 14m,134,Action
Elevation,5.6,,1h 31m,91,Action
Absolution,5.2,,1h 52m,112,Action
Bad Boys: Ride or Die,6.5,,1h 55m,115,Action
Red One,6.3,,2h 3m,123,Action
Solo Leveling: ReAwakening,8.8,,2h 1m,121,Action
Love Lies Bleeding,6.6,,1h 44m,104,Action
Argylle,5.6,,2h 19m,139,Action
Damsel,6.1,,1h 50m,110,Action
William Tell,5.7,,2h 13m,133,Action
The Union,5.4,,1h 47m,107,Action
Godzilla x Kong: The New Empire,6.0,,1h 55m,115,Action
Kingdom of the Planet of the Apes,6.9,,2h 25m,145,Action
Land of Bad,6.6,,1h 53m,113,Action
Hellboy: The Crooked Man,4.5,,1h 39m,99,Action
Kung Fu Panda 4,6.3,,1h 34m,94,Action
