Title,Rating,Voting,Duration,genre
1. Twisters,6.5, (168K),2h 2m,action
2. Gladiator II,6.5, (230K),2h 28m,action
3. Sonic the Hedgehog 3,6.9, (59K),1h 50m,action
4. Kraven the Hunter,5.5, (55K),2h 7m,action
5. Deadpool & Wolverine,7.6, (492K),2h 8m,action
6. Civil War,7.0, (237K),1h 49m,action
7. Dune: Part Two,8.5, (625K),2h 46m,action
8. The Ministry of Ungentlemanly Warfare,6.8, (135K),2h 2m,action
9. Venom: The Last Dance,6.0, (117K),1h 50m,action
10. The Beekeeper,6.3, (157K),1h 45m,action
11. The Count of Monte-Cristo,7.6, (34K),2h 58m,action
12. Freaky Tales,7.2, (1.2K),1h 47m,action
13. Furiosa: A Mad Max Saga,7.5, (285K),2h 28m,action
14. Transformers One,7.6, (51K),1h 44m,action
15. Carry-On,6.5, (165K),1h 59m,action
16. Borderlands,4.7, (48K),1h 41m,action
17. Fight or Flight,6.4, (7.1K),1h 37m,action
18. The Fall Guy,6.8, (221K),2h 6m,action
19. The Crow,4.7, (35K),1h 51m,action
20. Road House,6.2, (168K),2h 1m,action
21. Rebel Ridge,6.8, (88K),2h 11m,action
22. Pushpa: The Rule - Part 2,6.1, (56K),3h 21m,action
23. Madame Web,4.0, (101K),1h 56m,action
24. The Lord of the Rings: The War of the Rohirrim,6.3, (31K),2h 14m,action
25. Elevation,5.6, (22K),1h 31m,action
26. Absolution,5.2, (8.1K),1h 52m,action
27. Bad Boys: Ride or Die,6.5, (100K),1h 55m,action
28. Red One,6.3, (140K),2h 3m,action
29. Solo Leveling: ReAwakening,8.8, (12K),2h 1m,action
30. Love Lies Bleeding,6.6, (57K),1h 44m,action
31. Argylle,5.6, (93K),2h 19m,action
32. Damsel,6.1, (110K),1h 50m,action
33. William Tell,5.7, (2.5K),2h 13m,action
34. The Union,5.4, (53K),1h 47m,action
35. Godzilla x Kong: The New Empire,6.0, (122K),1h 55m,action
36. Kingdom of the Planet of the Apes,6.9, (152K),2h 25m,action
37. Land of Bad,6.6, (51K),1h 53m,action
38. Hellboy: The Crooked Man,4.5, (14K),1h 39m,action
39. Kung Fu Panda 4,6.3, (68K),1h 34m,action
40. Werewolves,4.4, (6.6K),1h 33m,action
41. Homestead,5.3, (3.6K),1h 52m,action
42. Survive,4.5, (2.5K),1h 30m,action
43. Monkey Man,6.8, (92K),2h 1m,action
44. Aftermath,5.1, (4K),1h 37m,action
45. The Killer's Game,5.8, (17K),1h 44m,action
46. The Instigators,6.2, (38K),1h 41m,action
47. Beverly Hills Cop: Axel F,6.4, (81K),1h 58m,action
48. Lift,5.5, (49K),1h 47m,action
49. Gunner,3.2, (2.7K),1h 46m,action
50. Classified,3.7, (2.6K),1h 45m,action
51. Blitz,6.2, (16K),2h,action
52. Uglies,4.7, (33K),1h 40m,action
53. Maharaja,8.4, (67K),2h 21m,action
54. The Killer,5.7, (13K),2h 6m,action
55. Old Guy,5.2, (2.4K),1h 34m,action
56. Drive-Away Dolls,5.4, (23K),1h 24m,action
57. Attack on Titan the Movie: The Last Attack,9.2, (16K),2h 25m,action
58. Thelma,7.0, (23K),1h 38m,action
59. Atlas,5.6, (56K),1h 58m,action
60. Azrael,5.4, (11K),1h 26m,action
61. Descendants: The Rise of Red,4.7, (7K),1h 31m,action
62. Arcadian,5.5, (23K),1h 32m,action
63. Toofan,7.4, (8.1K),2h 25m,action
64. Watchmen: Chapter I,7.1, (6.6K),1h 23m,action
65. Marco,6.8, (21K),2h 25m,action
66. Apocalypse Z: The Beginning of the End,6.1, (20K),1h 57m,action
67. Dirty Angels,4.3, (3.4K),1h 44m,action
68. Canary Black,5.3, (12K),1h 41m,action
69. Cash Out,4.8, (3K),1h 32m,action
